---,Cost,KillBonus,BaseDamage,ArmourDamage,ArmourPenetration,HelmetDamage,HelmetBleed,Weight,FalloffModifier,MinFalloffDist,MaxFalloffDist
painkillers,500,0,0,0,0,0,0,0,1,500,4000
knife,100,1200,0,0,0,0,0,0,1,500,4000
taser,500,500,10,10,0,0,0,0,1,500,4000
newtonlauncher,1600,0,30,0,0,0,100,0,1,500,4000
tttknife,100,0,10000000000000,10000000000000,10000000000,100000000000000,1000000000000000,0,1,500,4000
healthstation,1000,0,50,10,0,0,75,0,1,500,4000
monocular,500,0,50,10,0,0,75,0,1,500,4000
teleporter,1000,0,50,10,0,0,75,0,1,500,4000
ballisticsshield,1200,0,50,10,0,0,75,0,1,500,4000
flaregun,600,0,1000000000000,10000000000000,1000000000000000000,10000000000000,10000000000000,0,1,500,4000
dnascanner,500,0,50,10,0,0,75,0,1,500,4000
silentcet9,650,500,250000000000000,250000000000000000,5000000000000000,80000000000000000,500000000000000000,0,1,500,2000
detectivesmg,2200,0,20000000000000000,300000000000000000,10000000000000,1000000000000000,250000000000000,100000000000000,0.75,500,2000
tttc4,4000,0,5000000000000,1000000000000000,10000000000000000,100000000000000,7500000000000000,0,1,500,4000
goldengun,3500,0,20000000000,200000000000000,100000000000000,100000000000000,100000000000000000,0,1,500,4000
grenade_dis,500,0,50,10,0,0,75,0,1,500,4000
trenchgun,1500,600,1500000000000000,15000000000000000,10000000000000000,2500000000000000,100000000000000000,0,0.67,750,1500
tranqgun,2000,0,1700000000000000,100000000000000000,1000000000000000000000,10000000000000000000,1000000000000000,0,1,500,4000
hunting,1600,800,500000000000000,600000000000000000,100000000000000000,1000000000000000000,10000000000000000,0,1,500,4000
skorpion,950,600,200000000000000000,2000000000000000,10000000000000000000,50000000000000000,2500000000000000,0,0.85,1250,2000
pkm,3500,100,20,20,100,100,100,0,1,500,4000
gas,400,0,0,0,0,0,100,0,1,500,4000
thompson_drum,1600,400,20,30,10,25,25,0,1,500,4000
ppsh_drum,1750,100,17,20,10,25,25,0,0.8,1500,2500
